barcode,Name,Ensembl
PT,Ak4,
PT,Xylb,
PT,Slc22a28,
PT,Pipox,
PT,Neu1,
PT,Akr7a5,
PT,Macrod2,
PT,Slc5a8,
PT,Slc22a1,
PT,Trim7,
PT,Gpd1,
PT,Aldh6a1,
PT,Ghr,
PT,Upb1,
PT,Aspdh,
PT,Rab11fip3,
PT,Slc17a3,
PT,Car14,
PT,Slc37a4,
PT,Gm11128,
PT,Slc22a18,
PT,Tcn2,
PT,Gcdh,
PT,D630029K05Rik,
PT,Slc7a7,
PT,Gstz1,
PT,Tmem150a,
PT,Asl,
PT,Ldhd,
PT,Prodh2,
PT,Slc6a18,
PT,0610011F06Rik,
PT,Fah,
PT,Prodh,
PT,Hspe1,
PT,Cyp2d26,
PT,Prss8,
PT,Ces1d,
PT,Gm10804,
PT,Ephx2,
PT,Slco1a6,
PT,Ugt3a1,
PT,Slc6a20b,
PT,Eci3,
PT,Acox3,
PT,Mpv17l,
PT,Hsd3b2,
PT,Them7,
PT,Lap3,
PT,Tmem106a,
LOH,Slc12a1,
LOH,Umod,
LOH,Egf,
LOH,Wfdc15b,
LOH,Mt2,
LOH,Ppp1r1a,
LOH,Mt1,
LOH,Sostdc1,
LOH,Slc5a3,
LOH,Ly6a,
LOH,Mrps6,
LOH,Ckb,
LOH,Ppp1r1b,
LOH,Cldn10,
LOH,Cldn19,
LOH,Ptger3,
LOH,Gadd45g,
LOH,Fabp3,
LOH,Cldn16,
LOH,Slc5a1,
LOH,Irx1,
LOH,Tmem207,
LOH,Baiap2l2,
LOH,Shd,
LOH,Nccrp1,
LOH,Cyfip2,
LOH,Clcnka,
LOH,Gcgr,
LOH,Cgnl1,
LOH,Me3,
LOH,Irx2,
LOH,Aktip,
LOH,Fgf9,
DCT,Slc12a3,
DCT,Calb1,
DCT,Wnk1,
DCT,Pvalb,
DCT,Pgam2,
DCT,Wnk4,
DCT,Sgms2,
DCT,Slc16a7,
DCT,Lhx1,
DCT,Abca13,
DCT,Hoxb5os,
DCT,Emx1,
DCT,Trpm6,
DCT,Cwh43,
DCT,mt-Co1,
DCT,Oxct1,
DCT,Trpm7,
DCT,Papss1,
DCT,Uroc1,
DCT,Tfrc,
DCT,Lhx1os,
DCT,Tsc22d2,
DCT,Larp1b,
DCT,Gm15848,
CD PC,Aqp2,
CD PC,Hsd11b2,
CD PC,Fxyd4,
CD PC,Apela,
CD PC,Aqp3,
CD PC,Npnt,
CD PC,Scnn1b,
CD PC,Wfdc2,
CD PC,Kcne1,
